#0-rmin 2-rmax 3-e 
6.0922 9.75343 0.231056 
4.86483 6.64188 0.154436 
6.41497 9.71643 0.204661 
6.00046 10.7054 0.281633 
5.84418 8.73666 0.198376 
8.58515 9.445 0.0476896 
6.4654 7.69592 0.0868929 
6.84696 7.62984 0.0540781 
4.76651 7.6116 0.229848 
5.38236 6.55803 0.0984612 
8.35535 10.1885 0.0988525 
4.79295 6.40228 0.143752 
7.39166 8.14825 0.0486874 
7.88976 9.28986 0.0814974 
6.73288 7.36143 0.0445955 
7.2624 10.4036 0.177811 
4.95717 6.55435 0.138747 
6.06213 8.25632 0.153242 
9.19984 13.1528 0.176844 
4.31042 6.05816 0.168561 
5.30701 7.80064 0.190243 
9.70212 12.6425 0.131592 
8.63055 11.5577 0.144991 
3.91916 9.38202 0.410706 
6.78288 8.71589 0.124721 
5.47402 8.86424 0.236446 
6.5975 6.89059 0.0217295 
5.54498 9.24984 0.250416 
7.38937 8.2984 0.0579455 
8.6049 9.89276 0.0696228 
4.89106 6.63342 0.151188 
7.82892 10.5154 0.146445 
7.33573 8.89156 0.0958771 
5.32098 6.57134 0.10514 
9.07339 10.702 0.0823555 
6.5694 10.6436 0.236694 
4.96733 6.75802 0.152719 
8.41592 9.38332 0.0543506 
8.16972 9.78241 0.0898326 
9.55268 10.6111 0.0524932 
5.92871 6.58779 0.0526569 
6.6185 8.54936 0.1273 
7.96614 8.91608 0.0562687 
8.27922 10.0369 0.095963 
5.99874 8.09786 0.14891 
7.32644 8.37563 0.0668187 
5.67377 8.02826 0.171835 
6.71044 7.69558 0.0683842 
7.28346 9.2186 0.117266 
6.28938 8.1858 0.131012 
6.91695 10.9645 0.226355 
7.01742 10.9528 0.218993 
6.85215 8.35282 0.0986959 
7.15649 9.5746 0.144528 
9.23433 14.1705 0.210903 
6.60377 6.92658 0.0238577 
6.83737 10.7765 0.223636 
6.37866 7.44575 0.0771891 
7.53141 10.1635 0.14875 
5.74657 6.85418 0.0879003 
8.67076 9.9906 0.0707258 
8.25183 9.81664 0.0866041 
6.41676 10.656 0.248303 
7.6545 8.35391 0.0436898 
5.37476 6.80002 0.117066 
6.60903 7.13903 0.0385508 
5.67596 7.06541 0.10905 
4.79219 6.42242 0.145367 
4.15592 6.14298 0.192939 
6.52778 8.06084 0.105086 
5.07562 6.33399 0.11029 
7.28153 10.7948 0.194357 
8.33032 14.3598 0.26573 
5.87447 7.61799 0.129222 
6.92486 7.14737 0.0158124 
7.75327 9.22179 0.0865108 
5.69369 6.90911 0.0964403 
6.53831 9.17165 0.167622 
6.01135 6.84838 0.0650889 
7.08188 7.59094 0.0346941 
6.97722 8.772 0.11396 
5.72669 6.57483 0.0689458 
5.78904 7.07819 0.100189 
6.12151 7.75511 0.117723 
5.22027 8.22966 0.223747 
8.97106 14.8543 0.246933 
7.47278 9.58183 0.123665 
8.63777 9.79239 0.0626481 
6.42001 7.79414 0.0966734 
5.03553 7.01184 0.164045 
8.3255 9.69436 0.0759639 
5.89531 7.26355 0.103979 
9.42818 11.1605 0.0841395 
7.31979 9.46997 0.128065 
7.88107 10.5617 0.145346 
7.48391 8.55487 0.0667733 
7.95791 14.247 0.283231 
3.16651 7.61734 0.412731 
5.58227 6.62461 0.0853892 
5.86072 6.29766 0.0359376 
7.2882 10.2942 0.170968 
3.81161 6.16574 0.235948 
4.29858 6.44512 0.199796 
7.83606 8.40397 0.0349697 
7.64974 10.7441 0.168229 
8.06783 10.9186 0.150146 
7.73006 8.40992 0.0421227 
7.59945 10.2631 0.14912 
5.92331 7.11184 0.091179 
6.3319 8.4468 0.143104 
8.70447 10.5723 0.0968977 
8.52001 10.9093 0.122972 
8.21477 10.0742 0.101669 
6.62459 8.63142 0.131544 
7.3092 11.0804 0.205073 
6.33972 7.43521 0.079528 
6.07915 6.87646 0.0615412 
